symbol,fact_family,coverage_state,new_decision_authority,notes
XAUUSD,MACRO_FUNDAMENTAL,ACTIVE_CANONICAL,,Governed through existing V11-V16.1 canonical science
XAUUSD,MARKET_IMPLIED,ACTIVE_CANONICAL,,Governed through existing V11-V16.1 canonical science
XAUUSD,CORPORATE_EARNINGS_VALUATION,ACTIVE_LIMITED,,Governed through existing V11-V16.1 canonical science
XAUUSD,NARRATIVE_ATTENTION,ACTIVE_CANONICAL,,Governed through existing V11-V16.1 canonical science
XAUUSD,TEMPORAL_CALENDAR,ACTIVE_CANONICAL,,Governed through existing V11-V16.1 canonical science
XAUUSD,POSITIONING_OWNERSHIP,REGISTERED_D2_PENDING,False,D1 registration only; dedicated science requires D2
XAUUSD,ACTUAL_FLOW,REGISTERED_D2_PENDING,False,D1 registration only; dedicated science requires D2
XAUUSD,FUNDING_PLUMBING,REGISTERED_D2_PENDING,False,D1 registration only; dedicated science requires D2
XAUUSD,INSTITUTIONAL_MECHANICS,REGISTERED_D2_PENDING,False,D1 registration only; dedicated science requires D2
XAUUSD,MARKET_CAPACITY,REGISTERED_D2_PENDING,False,D1 registration only; dedicated science requires D2
NASDAQ100,MACRO_FUNDAMENTAL,ACTIVE_CANONICAL,,Governed through existing V11-V16.1 canonical science
NASDAQ100,MARKET_IMPLIED,ACTIVE_CANONICAL,,Governed through existing V11-V16.1 canonical science
NASDAQ100,CORPORATE_EARNINGS_VALUATION,ACTIVE_CANONICAL,,Governed through existing V11-V16.1 canonical science
NASDAQ100,NARRATIVE_ATTENTION,ACTIVE_CANONICAL,,Governed through existing V11-V16.1 canonical science
NASDAQ100,TEMPORAL_CALENDAR,ACTIVE_CANONICAL,,Governed through existing V11-V16.1 canonical science
NASDAQ100,POSITIONING_OWNERSHIP,REGISTERED_D2_PENDING,False,D1 registration only; dedicated science requires D2
NASDAQ100,ACTUAL_FLOW,REGISTERED_D2_PENDING,False,D1 registration only; dedicated science requires D2
NASDAQ100,FUNDING_PLUMBING,REGISTERED_D2_PENDING,False,D1 registration only; dedicated science requires D2
NASDAQ100,INSTITUTIONAL_MECHANICS,REGISTERED_D2_PENDING,False,D1 registration only; dedicated science requires D2
NASDAQ100,MARKET_CAPACITY,REGISTERED_D2_PENDING,False,D1 registration only; dedicated science requires D2
SP500,MACRO_FUNDAMENTAL,ACTIVE_CANONICAL,,Governed through existing V11-V16.1 canonical science
