currency,country_or_region,central_bank,regime_class,adapter,coverage_status
USD,United States,FED,G10,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
EUR,Euro Area,ECB,G10,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
JPY,Japan,BOJ,G10,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
GBP,United Kingdom,BOE,G10,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
CHF,Switzerland,SNB,G10,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
CAD,Canada,BOC,G10,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
AUD,Australia,RBA,G10,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
NZD,New Zealand,RBNZ,G10,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
NOK,Norway,Norges Bank,G10,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
SEK,Sweden,Riksbank,G10,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
CNH,China offshore,PBOC,EM,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
CNY,China onshore,PBOC,EM,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
HKD,Hong Kong,HKMA,PEG,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
SGD,Singapore,MAS,MANAGED,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
KRW,South Korea,BOK,EM,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
INR,India,RBI,EM,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
IDR,Indonesia,BI,EM,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
MYR,Malaysia,BNM,EM,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
THB,Thailand,BOT,EM,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
PHP,Philippines,BSP,EM,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
MXN,Mexico,Banxico,EM,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
BRL,Brazil,BCB,EM,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
CLP,Chile,BCCh,EM,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
COP,Colombia,BanRep,EM,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
PEN,Peru,BCRP,EM,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
ARS,Argentina,BCRA,FRONTIER,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
ZAR,South Africa,SARB,EM,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
TRY,Turkiye,CBRT,EM,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
PLN,Poland,NBP,EM,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
CZK,Czechia,CNB,EM,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
HUF,Hungary,MNB,EM,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
ILS,Israel,BOI,EM,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
SAR,Saudi Arabia,SAMA,PEG,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
AED,UAE,CBUAE,PEG,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED
