canonical_id,primary_alias,aliases,asset_family,subfamily,implementation_type,base,quote,country_or_region,venue_or_provider,benchmark,timezone,adapter_id,coverage_status,data_requirement,metadata_valid_from,metadata_valid_to,active
FX.CCY.USD,USD,USD,FX,currency_block,currency,USD,,United States,FED,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.EUR,EUR,EUR,FX,currency_block,currency,EUR,,Euro Area,ECB,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.JPY,JPY,JPY,FX,currency_block,currency,JPY,,Japan,BOJ,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.GBP,GBP,GBP,FX,currency_block,currency,GBP,,United Kingdom,BOE,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.CHF,CHF,CHF,FX,currency_block,currency,CHF,,Switzerland,SNB,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.CAD,CAD,CAD,FX,currency_block,currency,CAD,,Canada,BOC,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.AUD,AUD,AUD,FX,currency_block,currency,AUD,,Australia,RBA,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.NZD,NZD,NZD,FX,currency_block,currency,NZD,,New Zealand,RBNZ,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.NOK,NOK,NOK,FX,currency_block,currency,NOK,,Norway,Norges Bank,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.SEK,SEK,SEK,FX,currency_block,currency,SEK,,Sweden,Riksbank,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.CNH,CNH,CNH,FX,currency_block,currency,CNH,,China offshore,PBOC,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.CNY,CNY,CNY,FX,currency_block,currency,CNY,,China onshore,PBOC,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.HKD,HKD,HKD,FX,currency_block,currency,HKD,,Hong Kong,HKMA,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.SGD,SGD,SGD,FX,currency_block,currency,SGD,,Singapore,MAS,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.KRW,KRW,KRW,FX,currency_block,currency,KRW,,South Korea,BOK,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.INR,INR,INR,FX,currency_block,currency,INR,,India,RBI,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.IDR,IDR,IDR,FX,currency_block,currency,IDR,,Indonesia,BI,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.MYR,MYR,MYR,FX,currency_block,currency,MYR,,Malaysia,BNM,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.THB,THB,THB,FX,currency_block,currency,THB,,Thailand,BOT,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.PHP,PHP,PHP,FX,currency_block,currency,PHP,,Philippines,BSP,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.MXN,MXN,MXN,FX,currency_block,currency,MXN,,Mexico,Banxico,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.BRL,BRL,BRL,FX,currency_block,currency,BRL,,Brazil,BCB,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.CLP,CLP,CLP,FX,currency_block,currency,CLP,,Chile,BCCh,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.COP,COP,COP,FX,currency_block,currency,COP,,Colombia,BanRep,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.PEN,PEN,PEN,FX,currency_block,currency,PEN,,Peru,BCRP,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.ARS,ARS,ARS,FX,currency_block,currency,ARS,,Argentina,BCRA,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.ZAR,ZAR,ZAR,FX,currency_block,currency,ZAR,,South Africa,SARB,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.TRY,TRY,TRY,FX,currency_block,currency,TRY,,Turkiye,CBRT,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.PLN,PLN,PLN,FX,currency_block,currency,PLN,,Poland,NBP,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.CZK,CZK,CZK,FX,currency_block,currency,CZK,,Czechia,CNB,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.HUF,HUF,HUF,FX,currency_block,currency,HUF,,Hungary,MNB,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.ILS,ILS,ILS,FX,currency_block,currency,ILS,,Israel,BOI,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.SAR,SAR,SAR,FX,currency_block,currency,SAR,,Saudi Arabia,SAMA,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.CCY.AED,AED,AED,FX,currency_block,currency,AED,,UAE,CBUAE,,UTC,FX_CURRENCY_BLOCK,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.EURUSD,EURUSD,EURUSD|EUR/USD,FX,bilateral_spot,spot_fx,EUR,USD,bilateral,OTC,EURUSD,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDJPY,USDJPY,USDJPY|USD/JPY,FX,bilateral_spot,spot_fx,USD,JPY,bilateral,OTC,USDJPY,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.GBPUSD,GBPUSD,GBPUSD|GBP/USD,FX,bilateral_spot,spot_fx,GBP,USD,bilateral,OTC,GBPUSD,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDCHF,USDCHF,USDCHF|USD/CHF,FX,bilateral_spot,spot_fx,USD,CHF,bilateral,OTC,USDCHF,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.USDCAD,USDCAD,USDCAD|USD/CAD,FX,bilateral_spot,spot_fx,USD,CAD,bilateral,OTC,USDCAD,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.AUDUSD,AUDUSD,AUDUSD|AUD/USD,FX,bilateral_spot,spot_fx,AUD,USD,bilateral,OTC,AUDUSD,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.NZDUSD,NZDUSD,NZDUSD|NZD/USD,FX,bilateral_spot,spot_fx,NZD,USD,bilateral,OTC,NZDUSD,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.EURJPY,EURJPY,EURJPY|EUR/JPY,FX,bilateral_spot,spot_fx,EUR,JPY,bilateral,OTC,EURJPY,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.EURGBP,EURGBP,EURGBP|EUR/GBP,FX,bilateral_spot,spot_fx,EUR,GBP,bilateral,OTC,EURGBP,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.EURCHF,EURCHF,EURCHF|EUR/CHF,FX,bilateral_spot,spot_fx,EUR,CHF,bilateral,OTC,EURCHF,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.EURCAD,EURCAD,EURCAD|EUR/CAD,FX,bilateral_spot,spot_fx,EUR,CAD,bilateral,OTC,EURCAD,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.EURAUD,EURAUD,EURAUD|EUR/AUD,FX,bilateral_spot,spot_fx,EUR,AUD,bilateral,OTC,EURAUD,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.EURNZD,EURNZD,EURNZD|EUR/NZD,FX,bilateral_spot,spot_fx,EUR,NZD,bilateral,OTC,EURNZD,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.GBPJPY,GBPJPY,GBPJPY|GBP/JPY,FX,bilateral_spot,spot_fx,GBP,JPY,bilateral,OTC,GBPJPY,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.GBPCHF,GBPCHF,GBPCHF|GBP/CHF,FX,bilateral_spot,spot_fx,GBP,CHF,bilateral,OTC,GBPCHF,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.GBPCAD,GBPCAD,GBPCAD|GBP/CAD,FX,bilateral_spot,spot_fx,GBP,CAD,bilateral,OTC,GBPCAD,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.GBPAUD,GBPAUD,GBPAUD|GBP/AUD,FX,bilateral_spot,spot_fx,GBP,AUD,bilateral,OTC,GBPAUD,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.GBPNZD,GBPNZD,GBPNZD|GBP/NZD,FX,bilateral_spot,spot_fx,GBP,NZD,bilateral,OTC,GBPNZD,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.AUDJPY,AUDJPY,AUDJPY|AUD/JPY,FX,bilateral_spot,spot_fx,AUD,JPY,bilateral,OTC,AUDJPY,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.AUDCAD,AUDCAD,AUDCAD|AUD/CAD,FX,bilateral_spot,spot_fx,AUD,CAD,bilateral,OTC,AUDCAD,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.AUDNZD,AUDNZD,AUDNZD|AUD/NZD,FX,bilateral_spot,spot_fx,AUD,NZD,bilateral,OTC,AUDNZD,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.AUDCHF,AUDCHF,AUDCHF|AUD/CHF,FX,bilateral_spot,spot_fx,AUD,CHF,bilateral,OTC,AUDCHF,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.CADJPY,CADJPY,CADJPY|CAD/JPY,FX,bilateral_spot,spot_fx,CAD,JPY,bilateral,OTC,CADJPY,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.CADCHF,CADCHF,CADCHF|CAD/CHF,FX,bilateral_spot,spot_fx,CAD,CHF,bilateral,OTC,CADCHF,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.NZDJPY,NZDJPY,NZDJPY|NZD/JPY,FX,bilateral_spot,spot_fx,NZD,JPY,bilateral,OTC,NZDJPY,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.NZDCAD,NZDCAD,NZDCAD|NZD/CAD,FX,bilateral_spot,spot_fx,NZD,CAD,bilateral,OTC,NZDCAD,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.NZDCHF,NZDCHF,NZDCHF|NZD/CHF,FX,bilateral_spot,spot_fx,NZD,CHF,bilateral,OTC,NZDCHF,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
FX.SPOT.CHFJPY,CHFJPY,CHFJPY|CHF/JPY,FX,bilateral_spot,spot_fx,CHF,JPY,bilateral,OTC,CHFJPY,UTC,FX_BILATERAL,TEMPLATE_SUPPORTED,public+market data,2026-08-06,,true
