claim_id,claim,source_id,evidence_tier,use
V15-C001,FX liquidity is concentrated in London/New York and overlap is typically liquid,SRC-BIS-FX-GEO,institutional research,supports session geography; not directional
V15-C002,WMR closing spot benchmark is fixed daily at 4pm London,SRC-LSEG-WMR,primary benchmark,transactional benchmark clock
V15-C003,LBMA Gold auctions start 10:30 and 15:00 London,SRC-ICE-LBMA,primary benchmark,gold benchmark clock
V15-C004,US cash core session is 9:30-16:00 ET with opening/closing auctions,SRC-NYSE-HOURS,primary exchange,cash session/auction clock
V15-C005,Nasdaq imbalance information and opening/closing cross have defined times,SRC-NASDAQ-CROSS,primary exchange,auction concentration clock
V15-C006,Micro E-mini equity futures use quarterly cycle and SOQ final settlement,SRC-CME-EQ-HOURS,primary exchange,expiry/SOQ clock
V15-C007,Quarter-end funding constraints can impair FX swap and spot liquidity,SRC-BIS-FX-LIQ,institutional research,funding temporal force
V15-C008,Quarter-end window dressing can disrupt market functioning,SRC-BIS-WINDOW,regulatory,balance-sheet clock
V15-C009,"Nasdaq-100 methodology changed in 2026, requiring versioned historical use",SRC-NASDAQ-NDX-2026,primary index provider,calendar methodology versioning
V15-C010,Treasury auction patterns can change with holidays/special circumstances,SRC-TREASURY-AUCTIONS,primary government,dynamic retrieval required
